Time,"DIVERGENCE","P","Points:0","Points:1","Points:2","Q","T","U","V","VORTICITY_X","VORTICITY_Y","VORTICITY_Z","W"
5,-0.060245,0.54931,-0.5175,-0.050969,0,-1.2276,0.80847,0.020515,-0.063906,0,0,2.5565,0
5,-0.075308,0.55278,-0.51086,-0.050316,0,-0.32656,0.86923,0.011683,-0.04653,0,0,3.1059,0
5,-0.24611,0.55633,-0.50423,-0.049662,0,0.060404,0.93308,0.0048443,-0.025228,0,0,3.6132,0
5,-0.57267,0.55997,-0.49759,-0.049009,0,-0.066748,1,-1.0599e-18,1.1113e-17,0,0,4.0784,0
5,-0.057851,0.55765,-0.51833,-0.033979,0,-1.4993,0.81272,0.01629,-0.0424,0,0,1.7637,0
5,0.03276,0.56134,-0.51151,-0.033535,0,-0.62874,0.87498,0.0081032,-0.030447,0,0,2.0467,0
5,0.016576,0.56597,-0.50468,-0.033091,0,-0.12122,0.93741,0.0026732,-0.016314,0,0,2.3119,0
5,-0.1064,0.57156,-0.49786,-0.032646,0,0.0233,1,6.8416e-19,7.8517e-18,0,0,2.5592,0
5,-0.05345,0.56301,-0.51916,-0.01699,0,-1.603,0.81261,0.014228,-0.021272,0,0,0.91166,0
5,0.04251,0.56672,-0.51233,-0.016763,0,-0.77321,0.87491,0.0065935,-0.015099,0,0,1.0098,0
5,0.068898,0.57138,-0.5055,-0.016537,0,-0.22728,0.93737,0.001851,-0.0080088,0,0,1.1164,0
5,0.025715,0.57698,-0.49866,-0.01631,0,0.03476,1,1.171e-18,5.9041e-18,0,0,1.2314,0
5,-0.047042,0.56538,-0.52,0,0,-1.539,0.80814,0.014327,-0.0005223,0,0,0.0002759,0
5,-0.046058,0.56893,-0.51333,0,0,-0.75999,0.86901,0.0071534,-0.00048754,0,0,-0.0048446,0
5,-0.089147,0.57254,-0.50667,0,0,-0.25777,0.93296,0.0023776,-0.00031344,0,0,0.026692,0
5,-0.17631,0.57622,-0.5,0,0,-0.032366,1,4.008e-19,5.2709e-18,0,0,0.094886,0
5,-0.071517,0.50549,-0.51001,-0.10145,0,-0.32179,0.80952,0.038505,-0.12391,0,0,5.0688,0
5,-0.10259,0.50873,-0.50347,-0.10015,0,0.60087,0.86995,0.02483,-0.090055,0,0,6.0994,0
5,-0.39279,0.51208,-0.49693,-0.098846,0,0.63085,0.93345,0.011995,-0.048751,0,0,7.0841,0
5,-0.9421,0.51556,-0.49039,-0.097545,0,-0.23187,1,-1.883e-18,3.6438e-17,0,0,8.023,0
5,-0.059885,0.52292,-0.5125,-0.084621,0,-0.72905,0.81351,0.030231,-0.1028,0,0,4.4062,0
5,0.02198,0.52642,-0.50576,-0.08351,0,0.054662,0.87552,0.018128,-0.073399,0,0,5.0206,0
5,-0.035332,0.53088,-0.49901,-0.082399,0,0.29886,0.93768,0.0080513,-0.039132,0,0,5.6089,0
