Time,"DIVERGENCE","P","Points:0","Points:1","Points:2","Q","T","U","V","VORTICITY_X","VORTICITY_Y","VORTICITY_Z","W"
39,-0.063055,0.55263,-0.5175,-0.050969,0,-1.1051,0.80839,0.021766,-0.076586,0,0,3.0713,0
39,-0.080905,0.55608,-0.51086,-0.050316,0,-0.1863,0.86918,0.01258,-0.055629,0,0,3.7107,0
39,-0.27572,0.55962,-0.50423,-0.049662,0,0.15217,0.93305,0.0053251,-0.0301,0,0,4.3073,0
39,-0.6475,0.56326,-0.49759,-0.049009,0,-0.089687,1,-2.3495e-19,8.4794e-18,0,0,4.8614,0
39,-0.058765,0.56255,-0.51833,-0.033979,0,-1.4068,0.81267,0.017112,-0.054873,0,0,2.2993,0
39,0.030875,0.56622,-0.51151,-0.033535,0,-0.53946,0.87495,0.0086842,-0.039209,0,0,2.6409,0
39,0.0066656,0.57085,-0.50468,-0.033091,0,-0.063842,0.9374,0.0029801,-0.020918,0,0,2.9634,0
39,-0.13139,0.57644,-0.49786,-0.032646,0,0.020096,1,-9.8179e-19,1.3129e-17,0,0,3.2666,0
39,-0.052499,0.56949,-0.51916,-0.01699,0,-1.548,0.81259,0.014633,-0.033766,0,0,1.4471,0
39,0.044315,0.57319,-0.51233,-0.016763,0,-0.73755,0.8749,0.0068751,-0.023877,0,0,1.604,0
39,0.078674,0.57785,-0.5055,-0.016537,0,-0.20952,0.93737,0.0019976,-0.012622,0,0,1.7679,0
39,0.050578,0.58345,-0.49866,-0.01631,0,0.036093,1,-1.5572e-18,6.5777e-18,0,0,1.9389,0
39,-0.044257,0.57345,-0.52,0,0,-1.5287,0.80815,0.014327,-0.013265,0,0,0.51472,0
39,-0.040584,0.577,-0.51333,0,0,-0.78054,0.86901,0.0071531,-0.0096322,0,0,0.59984,0
39,-0.059693,0.58061,-0.50667,0,0,-0.28487,0.93296,0.0023775,-0.0052107,0,0,0.721,0
39,-0.10158,0.58429,-0.5,0,0,-0.041695,1,-1.9612e-18,-1.1173e-17,0,0,0.87821,0
39,-0.074345,0.50409,-0.51001,-0.10145,0,-0.091575,0.80936,0.040996,-0.13641,0,0,5.5849,0
39,-0.1083,0.50729,-0.50347,-0.10015,0,0.83642,0.86984,0.026617,-0.099021,0,0,6.7048,0
39,-0.42252,0.51063,-0.49693,-0.098846,0,0.77336,0.93339,0.012952,-0.053549,0,0,7.7783,0
39,-1.017,0.51411,-0.49039,-0.097545,0,-0.28075,1,-4.8554e-18,-1.4405e-17,0,0,8.8053,0
39,-0.060767,0.52308,-0.5125,-0.084621,0,-0.51684,0.81338,0.032274,-0.11513,0,0,4.9427,0
39,0.020034,0.52656,-0.50576,-0.08351,0,0.24448,0.87543,0.019566,-0.082061,0,0,5.6153,0
39,-0.045339,0.531,-0.49901,-0.082399,0,0.41638,0.93764,0.0088082,-0.043682,0,0,6.2603,0
39,-0.25689,0.53641,-0.49226,-0.081288,0,-0.0011419,1,-2.9594e-18,1.7961e-17,0,0,6.8778,0
39,-0.045953,0.53926,-0.515,-0.067795,0,-0.85902,0.81306,0.025864,-0.095192,0,0,4.1075,0
39,0.052121,0.54282,-0.50822,-0.0669,0,-0.22366,0.87521,0.014887,-0.067597,0,0,4.603,0
39,0.12682,0.54733,-0.50144,-0.066004,0,0.074825,0.93752,0.006266,-0.035866,0,0,5.0964,0
39,0.17815,0.5528,-0.49466,-0.065109,0,0.036433,1,-8.348e-19,2.7699e-17,0,0,5.5877,0
39,-0.029902,0.55263,-0.5175,-0.050969,0,-1.1181,0.80839,0.021766,-0.076586,0,0,3.0792,0
39,-0.012036,0.55608,-0.51086,-0.050316,0,-0.56801,0.86918,0.01258,-0.055629,0,0,3.6679,0
39,0.093964,0.55962,-0.50423,-0.049662,0,-0.25131,0.93305,0.0053251,-0.0301,0,0,4.2866,0
39,0.2881,0.56326,-0.49759,-0.049009,0,-0.16803,1,1.5184e-18,1.4808e-17,0,0,4.9352,0
39,-0.083671,0.42992,-0.49761,-0.15095,0,1.4273,0.81103,0.070718,-0.18951,0,0,7.9913,0
39,-0.13371,0.43274,-0.49123,-0.14901,0,2.252,0.87099,0.048283,-0.1374,0,0,9.548,0
39,-0.5587,0.43576,-0.48485,-0.14708,0,1.5826,0.93398,0.02471,-0.074228,0,0,11.056,0
