Time,"DIVERGENCE","P","Points:0","Points:1","Points:2","Q","T","U","V","VORTICITY_X","VORTICITY_Y","VORTICITY_Z","W"
71,-0.063391,0.5532,-0.5175,-0.050969,0,-1.083,0.80841,0.02192,-0.078267,0,0,3.1524,0
71,-0.08152,0.55665,-0.51086,-0.050316,0,-0.16559,0.86919,0.012688,-0.056777,0,0,3.795,0
71,-0.27905,0.56019,-0.50423,-0.049662,0,0.16444,0.93306,0.0053811,-0.030688,0,0,4.3948,0
71,-0.65598,0.56382,-0.49759,-0.049009,0,-0.092875,1,-1.8573e-18,9.3672e-18,0,0,4.9521,0
71,-0.058846,0.56305,-0.51833,-0.033979,0,-1.3897,0.81269,0.017214,-0.056533,0,0,2.3829,0
71,0.030641,0.56672,-0.51151,-0.033535,0,-0.52546,0.87496,0.0087542,-0.040319,0,0,2.724,0
71,0.005503,0.57135,-0.50468,-0.033091,0,-0.055706,0.9374,0.0030162,-0.021474,0,0,3.0457,0
71,-0.13426,0.57693,-0.49786,-0.032646,0,0.019573,1,-1.3338e-19,2.956e-18,0,0,3.3482,0
71,-0.052336,0.56992,-0.51916,-0.01699,0,-1.5372,0.8126,0.014682,-0.035438,0,0,1.531,0
71,0.044501,0.57363,-0.51233,-0.016763,0,-0.73082,0.8749,0.0069091,-0.024995,0,0,1.6875,0
71,0.079774,0.57828,-0.5055,-0.016537,0,-0.20635,0.93737,0.0020149,-0.013183,0,0,1.8508,0
71,0.053485,0.58388,-0.49866,-0.01631,0,0.036217,1,6.1909e-19,2.6019e-18,0,0,2.0212,0
71,-0.043862,0.57382,-0.52,0,0,-1.5254,0.80816,0.014325,-0.014981,0,0,0.5967,0
71,-0.039942,0.57736,-0.51333,0,0,-0.78166,0.86902,0.0071524,-0.010807,0,0,0.68541,0
71,-0.056235,0.58098,-0.50667,0,0,-0.28749,0.93297,0.0023773,-0.0058133,0,0,0.81013,0
71,-0.092742,0.58466,-0.5,0,0,-0.042943,1,4.0012e-19,8.3049e-18,0,0,0.97087,0
71,-0.074622,0.50492,-0.51001,-0.10145,0,-0.053365,0.80937,0.041291,-0.138,0,0,5.6638,0
71,-0.10887,0.50811,-0.50347,-0.10015,0,0.86868,0.86985,0.026821,-0.1001,0,0,6.7859,0
71,-0.42562,0.51145,-0.49693,-0.098846,0,0.79092,0.9334,0.013057,-0.0541,0,0,7.8616,0
71,-1.0249,0.51492,-0.49039,-0.097545,0,-0.28666,1,-1.1378e-17,2.6253e-17,0,0,8.891,0
71,-0.060779,0.52382,-0.5125,-0.084621,0,-0.48159,0.8134,0.032519,-0.11672,0,0,5.0244,0
71,0.019771,0.52729,-0.50576,-0.08351,0,0.27161,0.87544,0.019733,-0.083117,0,0,5.6958,0
71,-0.046504,0.53173,-0.49901,-0.082399,0,0.4315,0.93764,0.0088936,-0.044209,0,0,6.3396,0
71,-0.2596,0.53713,-0.49226,-0.081288,0,-0.0018966,1,-7.8815e-18,-9.8213e-18,0,0,6.9557,0
71,-0.045727,0.53991,-0.515,-0.067795,0,-0.82956,0.81308,0.026062,-0.096812,0,0,4.1899,0
71,0.052261,0.54347,-0.50822,-0.0669,0,-0.20298,0.87522,0.015022,-0.068676,0,0,4.6846,0
71,0.12783,0.54798,-0.50144,-0.066004,0,0.085621,0.93753,0.0063349,-0.036406,0,0,5.177,0
71,0.18098,0.55343,-0.49466,-0.065109,0,0.036251,1,-4.3848e-18,-1.9382e-17,0,0,5.6673,0
71,-0.029467,0.5532,-0.5175,-0.050969,0,-1.0973,0.80841,0.02192,-0.078267,0,0,3.1603,0
