Time,"DIVERGENCE","P","Points:0","Points:1","Points:2","Q","T","U","V","VORTICITY_X","VORTICITY_Y","VORTICITY_Z","W"
95,-0.061929,0.55036,-0.5175,-0.050969,0,-1.1586,0.80841,0.021264,-0.071457,0,0,2.8592,0
95,-0.078679,0.55383,-0.51086,-0.050316,0,-0.24561,0.8692,0.012221,-0.051966,0,0,3.4648,0
95,-0.26392,0.55737,-0.50423,-0.049662,0,0.11398,0.93306,0.005133,-0.028147,0,0,4.028,0
95,-0.61766,0.56101,-0.49759,-0.049009,0,-0.079848,1,-1.0364e-18,1.3983e-17,0,0,4.5487,0
95,-0.058408,0.55973,-0.51833,-0.033979,0,-1.4481,0.81268,0.016782,-0.049826,0,0,2.0789,0
95,0.031634,0.56341,-0.51151,-0.033535,0,-0.57826,0.87496,0.0084514,-0.035681,0,0,2.3993,0
95,0.010631,0.56805,-0.50468,-0.033091,0,-0.088418,0.9374,0.0028574,-0.019072,0,0,2.7011,0
95,-0.12142,0.57363,-0.49786,-0.032646,0,0.021453,1,-1.3016e-18,8.7898e-18,0,0,2.9842,0
95,-0.052895,0.56612,-0.51916,-0.01699,0,-1.5737,0.81259,0.01447,-0.028707,0,0,1.2266,0
95,0.043603,0.56983,-0.51233,-0.016763,0,-0.7546,0.8749,0.0067623,-0.02034,0,0,1.3622,0
95,0.074782,0.57448,-0.5055,-0.016537,0,-0.21816,0.93737,0.001939,-0.010771,0,0,1.5054,0
95,0.040642,0.58008,-0.49866,-0.01631,0,0.0356,1,-8.8116e-19,7.1964e-18,0,0,1.6562,0
95,-0.045391,0.56952,-0.52,0,0,-1.5356,0.80814,0.014328,-0.0081018,0,0,0.30244,0
95,-0.042772,0.57307,-0.51333,0,0,-0.77465,0.86901,0.0071535,-0.0059444,0,0,0.3536,0
95,-0.07147,0.57668,-0.50667,0,0,-0.27523,0.93296,0.0023776,-0.0032438,0,0,0.44103,0
95,-0.13149,0.58036,-0.5,0,0,-0.037406,1,2.2505e-19,9.2029e-18,0,0,0.56473,0
95,-0.073231,0.50347,-0.51001,-0.10145,0,-0.18922,0.80941,0.04,-0.13138,0,0,5.3731,0
95,-0.10605,0.50669,-0.50347,-0.10015,0,0.73889,0.86988,0.025905,-0.095428,0,0,6.4598,0
95,-0.41075,0.51004,-0.49693,-0.098846,0,0.71509,0.93341,0.012571,-0.051635,0,0,7.5002,0
95,-0.98735,0.51351,-0.49039,-0.097545,0,-0.26063,1,-8.8671e-18,1.6982e-17,0,0,8.4944,0
95,-0.060442,0.52192,-0.5125,-0.084621,0,-0.60726,0.81342,0.031455,-0.11016,0,0,4.7225,0
95,0.020825,0.52541,-0.50576,-0.08351,0,0.16508,0.87546,0.018992,-0.078586,0,0,5.3743,0
95,-0.041338,0.52986,-0.49901,-0.082399,0,0.36778,0.93765,0.0085066,-0.041865,0,0,5.999,0
