Time,"DIVERGENCE","P","Points:0","Points:1","Points:2","Q","T","U","V","VORTICITY_X","VORTICITY_Y","VORTICITY_Z","W"
18,-0.061008,0.54878,-0.5175,-0.050969,0,-1.179,0.80849,0.020869,-0.067855,0,0,2.761,0
18,-0.07662,0.55224,-0.51086,-0.050316,0,-0.28294,0.86925,0.011924,-0.049165,0,0,3.3084,0
18,-0.25331,0.55578,-0.50423,-0.049662,0,0.085821,0.93309,0.0049682,-0.026546,0,0,3.8138,0
18,-0.59107,0.5594,-0.49759,-0.049009,0,-0.072742,1,-2.822e-18,1.704e-17,0,0,4.2772,0
18,-0.058019,0.55664,-0.51833,-0.033979,0,-1.4647,0.81274,0.016525,-0.0463,0,0,1.9736,0
18,0.032245,0.56031,-0.51151,-0.033535,0,-0.60134,0.875,0.0082613,-0.032991,0,0,2.2461,0
18,0.014038,0.56494,-0.50468,-0.033091,0,-0.10575,0.93742,0.0027531,-0.017557,0,0,2.5006,0
18,-0.11264,0.57052,-0.49786,-0.032646,0,0.022113,1,-1.3914e-18,1.4214e-17,0,0,2.7372,0
18,-0.053052,0.56152,-0.51916,-0.01699,0,-1.5847,0.81262,0.014344,-0.025204,0,0,1.1223,0
18,0.042899,0.56523,-0.51233,-0.016763,0,-0.76316,0.87492,0.0066708,-0.017666,0,0,1.2103,0
18,0.07128,0.56988,-0.5055,-0.016537,0,-0.22322,0.93738,0.0018896,-0.0092652,0,0,1.3066,0
18,0.032091,0.57548,-0.49866,-0.01631,0,0.035146,1,-1.1037e-18,8.0175e-18,0,0,1.4112,0
18,-0.046106,0.56343,-0.52,0,0,-1.5391,0.80815,0.014327,-0.0045652,0,0,0.2072,0
18,-0.044657,0.56697,-0.51333,0,0,-0.76841,0.86901,0.007153,-0.0031919,0,0,0.20114,0
18,-0.081581,0.57059,-0.50667,0,0,-0.26658,0.93296,0.0023775,-0.0016702,0,0,0.23176,0
18,-0.15688,0.57427,-0.5,0,0,-0.033645,1,-1.9589e-18,-1.5506e-18,0,0,0.29905,0
18,-0.07208,0.50651,-0.51001,-0.10145,0,-0.23281,0.80956,0.039165,-0.12759,0,0,5.2662,0
18,-0.10374,0.50972,-0.50347,-0.10015,0,0.67119,0.86998,0.025278,-0.092486,0,0,6.2916,0
18,-0.3992,0.51306,-0.49693,-0.098846,0,0.66759,0.93346,0.012223,-0.049956,0,0,7.2715,0
18,-0.95846,0.51652,-0.49039,-0.097545,0,-0.24361,1,-4.205e-18,4.1306e-17,0,0,8.2058,0
18,-0.05982,0.5234,-0.5125,-0.084621,0,-0.64874,0.81354,0.030785,-0.10649,0,0,4.6102,0
18,0.021369,0.52688,-0.50576,-0.08351,0,0.11318,0.87554,0.018499,-0.075788,0,0,5.2121,0
18,-0.03788,0.53132,-0.49901,-0.082399,0,0.33002,0.93769,0.0082368,-0.040291,0,0,5.7878,0
18,-0.23756,0.53671,-0.49226,-0.081288,0,0.0017764,1,-5.4397e-18,3.8332e-17,0,0,6.3373,0
18,-0.046325,0.53749,-0.515,-0.067795,0,-0.96858,0.81319,0.024686,-0.086579,0,0,3.7778,0
18,0.050623,0.54105,-0.50822,-0.0669,0,-0.31738,0.8753,0.014047,-0.061348,0,0,4.2035,0
18,0.11925,0.54556,-0.50144,-0.066004,0,0.017546,0.93757,0.0058186,-0.032488,0,0,4.6284,0
18,0.15957,0.551,-0.49466,-0.065109,0,0.036202,1,-4.7315e-18,3.2843e-17,0,0,5.0524,0
18,-0.031593,0.54878,-0.5175,-0.050969,0,-1.1923,0.80849,0.020869,-0.067855,0,0,2.769,0
18,-0.015976,0.55224,-0.51086,-0.050316,0,-0.62049,0.86925,0.011924,-0.049165,0,0,3.2658,0
18,0.072204,0.55578,-0.50423,-0.049662,0,-0.26983,0.93309,0.0049682,-0.026546,0,0,3.7931,0
