Time,"DIVERGENCE","P","Points:0","Points:1","Points:2","Q","T","U","V","VORTICITY_X","VORTICITY_Y","VORTICITY_Z","W"
72,-0.063217,0.55157,-0.5175,-0.050969,0,-1.0888,0.80842,0.021845,-0.077555,0,0,3.1294,0
72,-0.081147,0.55502,-0.51086,-0.050316,0,-0.17387,0.8692,0.012632,-0.05624,0,0,3.7629,0
72,-0.27712,0.55856,-0.50423,-0.049662,0,0.15863,0.93306,0.0053506,-0.030388,0,0,4.3538,0
72,-0.65112,0.56219,-0.49759,-0.049009,0,-0.091308,1,-3.6719e-18,1.3928e-17,0,0,4.9021,0
72,-0.058778,0.5612,-0.51833,-0.033979,0,-1.3945,0.81269,0.017165,-0.055835,0,0,2.3586,0
72,0.030757,0.56487,-0.51151,-0.033535,0,-0.53093,0.87497,0.0087184,-0.039802,0,0,2.6925,0
72,0.0061323,0.5695,-0.50468,-0.033091,0,-0.059518,0.9374,0.0029968,-0.02119,0,0,3.0073,0
72,-0.13265,0.57508,-0.49786,-0.032646,0,0.019733,1,-2.1693e-18,9.0947e-18,0,0,3.3029,0
72,-0.052375,0.56785,-0.51916,-0.01699,0,-1.5405,0.81261,0.014658,-0.034742,0,0,1.5068,0
72,0.044376,0.57156,-0.51233,-0.016763,0,-0.73335,0.87491,0.0068918,-0.02448,0,0,1.6562,0
72,0.079137,0.57621,-0.5055,-0.016537,0,-0.20781,0.93737,0.0020057,-0.0129,0,0,1.8126,0
72,0.051909,0.58181,-0.49866,-0.01631,0,0.036142,1,-1.6382e-18,8.0324e-18,0,0,1.976,0
72,-0.044009,0.57153,-0.52,0,0,-1.5268,0.80816,0.014325,-0.014276,0,0,0.57406,0
72,-0.040289,0.57508,-0.51333,0,0,-0.78114,0.86902,0.0071523,-0.010275,0,0,0.65383,0
72,-0.0581,0.57869,-0.50667,0,0,-0.28624,0.93297,0.0023773,-0.0055161,0,0,0.76968,0
72,-0.097443,0.58237,-0.5,0,0,-0.042079,1,-2.0784e-18,1.0742e-17,0,0,0.92162,0
72,-0.07442,0.50395,-0.51001,-0.10145,0,-0.064372,0.8094,0.041135,-0.13727,0,0,5.6396,0
72,-0.10846,0.50715,-0.50347,-0.10015,0,0.8546,0.86987,0.026706,-0.099549,0,0,6.7523,0
72,-0.42356,0.51048,-0.49693,-0.098846,0,0.78162,0.9334,0.012994,-0.053791,0,0,7.8188,0
72,-1.0197,0.51395,-0.49039,-0.097545,0,-0.28331,1,-5.4568e-18,1.5597e-17,0,0,8.8389,0
72,-0.060683,0.52263,-0.5125,-0.084621,0,-0.49203,0.81342,0.032393,-0.11601,0,0,4.9991,0
72,0.019879,0.5261,-0.50576,-0.08351,0,0.26043,0.87545,0.019642,-0.082589,0,0,5.6632,0
72,-0.045866,0.53054,-0.49901,-0.082399,0,0.42388,0.93765,0.0088444,-0.043919,0,0,6.2997,0
72,-0.25792,0.53594,-0.49226,-0.081288,0,-0.0016689,1,-3.1446e-18,2.0767e-17,0,0,6.9088,0
72,-0.045741,0.5385,-0.515,-0.067795,0,-0.83833,0.81309,0.025963,-0.096105,0,0,4.165,0
72,0.052123,0.54206,-0.50822,-0.0669,0,-0.21099,0.87523,0.014951,-0.068153,0,0,4.6525,0
72,0.12717,0.54656,-0.50144,-0.066004,0,0.080521,0.93753,0.0062965,-0.036118,0,0,5.1378,0
72,0.17939,0.55202,-0.49466,-0.065109,0,0.036216,1,-1.861e-18,2.3423e-17,0,0,5.6211,0
72,-0.029592,0.55157,-0.5175,-0.050969,0,-1.1033,0.80842,0.021845,-0.077555,0,0,3.1373,0
72,-0.011729,0.55502,-0.51086,-0.050316,0,-0.55967,0.8692,0.012632,-0.05624,0,0,3.7202,0
72,0.095531,0.55856,-0.50423,-0.049662,0,-0.24847,0.93306,0.0053506,-0.030388,0,0,4.333,0
72,0.29219,0.56219,-0.49759,-0.049009,0,-0.16965,1,-1.6059e-18,2.3564e-17,0,0,4.9759,0
72,-0.083643,0.43083,-0.49761,-0.15095,0,1.4614,0.81108,0.070874,-0.19019,0,0,8.0405,0
