Time,"DIVERGENCE","P","Points:0","Points:1","Points:2","Q","T","U","V","VORTICITY_X","VORTICITY_Y","VORTICITY_Z","W"
55,-0.056736,0.56751,-0.5175,-0.050969,0,-1.3336,0.80863,0.018964,-0.04857,0,0,1.9789,0
55,-0.068114,0.57098,-0.51086,-0.050316,0,-0.46737,0.86934,0.010558,-0.035323,0,0,2.3888,0
55,-0.20827,0.57454,-0.50423,-0.049662,0,-0.038069,0.93313,0.0042365,-0.019133,0,0,2.7577,0
55,-0.4772,0.57816,-0.49759,-0.049009,0,-0.045712,1,-2.7914e-18,1.1952e-17,0,0,3.0857,0
55,-0.056627,0.57294,-0.51833,-0.033979,0,-1.57,0.81283,0.015272,-0.027334,0,0,1.16,0
55,0.03509,0.57663,-0.51151,-0.033535,0,-0.70699,0.87506,0.0073769,-0.019663,0,0,1.3427,0
55,0.029081,0.58126,-0.50468,-0.033091,0,-0.17482,0.93745,0.0022862,-0.010552,0,0,1.5097,0
55,-0.074655,0.58684,-0.49786,-0.032646,0,0.026524,1,-7.3934e-19,8.8171e-18,0,0,1.6608,0
55,-0.054496,0.57539,-0.51916,-0.01699,0,-1.6333,0.81267,0.013726,-0.0062102,0,0,0.3091,0
55,0.040128,0.57911,-0.51233,-0.016763,0,-0.78743,0.87495,0.0062418,-0.0043188,0,0,0.30725,0
55,0.056369,0.58376,-0.5055,-0.016537,0,-0.2321,0.93739,0.0016665,-0.0022487,0,0,0.31581,0
55,-0.0057744,0.58936,-0.49866,-0.01631,0,0.032685,1,1.1271e-19,3.6826e-18,0,0,0.33478,0
55,-0.050342,0.57487,-0.52,0,0,-1.5236,0.80815,0.014326,0.014802,0,0,-0.57389,0
55,-0.052999,0.57841,-0.51333,0,0,-0.7087,0.86902,0.0071527,0.010711,0,0,-0.71765,0
55,-0.1264,0.58203,-0.50667,0,0,-0.2099,0.93297,0.0023774,0.0057768,0,0,-0.8238,0
55,-0.27056,0.58571,-0.5,0,0,-0.027228,1,-2.3523e-19,-3.4518e-18,0,0,-0.89235,0
55,-0.067776,0.53247,-0.51001,-0.10145,0,-0.55043,0.80982,0.03537,-0.10856,0,0,4.4814,0
55,-0.095062,0.53573,-0.50347,-0.10015,0,0.34236,0.87016,0.022556,-0.078835,0,0,5.3703,0
55,-0.35392,0.53909,-0.49693,-0.098846,0,0.46676,0.93355,0.010766,-0.042648,0,0,6.2146,0
55,-0.84437,0.54254,-0.49039,-0.097545,0,-0.17723,1,-2.0089e-18,7.8959e-18,0,0,7.0142,0
