Time,"DIVERGENCE","P","Points:0","Points:1","Points:2","Q","T","U","V","VORTICITY_X","VORTICITY_Y","VORTICITY_Z","W"
84,-0.056761,0.56743,-0.5175,-0.050969,0,-1.3326,0.80862,0.018975,-0.048689,0,0,1.9845,0
84,-0.068159,0.57091,-0.51086,-0.050316,0,-0.46634,0.86934,0.010566,-0.035405,0,0,2.3947,0
84,-0.20851,0.57446,-0.50423,-0.049662,0,-0.037408,0.93313,0.0042406,-0.019175,0,0,2.764,0
84,-0.47781,0.57808,-0.49759,-0.049009,0,-0.045839,1,-2.1402e-19,9.5245e-18,0,0,3.0922,0
84,-0.056634,0.57286,-0.51833,-0.033979,0,-1.5694,0.81283,0.015279,-0.027451,0,0,1.1658,0
84,0.035074,0.57655,-0.51151,-0.033535,0,-0.70646,0.87506,0.0073819,-0.019742,0,0,1.3486,0
84,0.028999,0.58118,-0.50468,-0.033091,0,-0.17449,0.93745,0.0022888,-0.010592,0,0,1.5155,0
84,-0.07486,0.58676,-0.49786,-0.032646,0,0.026496,1,4.1437e-19,4.7269e-18,0,0,1.6666,0
84,-0.054486,0.57531,-0.51916,-0.01699,0,-1.6332,0.81267,0.01373,-0.0063276,0,0,0.3149,0
84,0.040142,0.57902,-0.51233,-0.016763,0,-0.78742,0.87495,0.0062443,-0.0043977,0,0,0.31308,0
84,0.056449,0.58368,-0.5055,-0.016537,0,-0.23212,0.93739,0.0016677,-0.0022885,0,0,0.32167,0
84,-0.0055669,0.58927,-0.49866,-0.01631,0,0.032702,1,7.1339e-20,3.0062e-19,0,0,0.34065,0
84,-0.050315,0.57478,-0.52,0,0,-1.5239,0.80815,0.014326,0.014682,0,0,-0.56824,0
84,-0.052954,0.57833,-0.51333,0,0,-0.70921,0.86902,0.0071528,0.010628,0,0,-0.71169,0
84,-0.12616,0.58194,-0.50667,0,0,-0.2103,0.93297,0.0023775,0.0057342,0,0,-0.81753,0
84,-0.26993,0.58562,-0.5,0,0,-0.027219,1,-1.2431e-18,-3.7542e-18,0,0,-0.88577,0
84,-0.067797,0.53241,-0.51001,-0.10145,0,-0.5483,0.80982,0.035392,-0.10868,0,0,4.4869,0
84,-0.095104,0.53566,-0.50347,-0.10015,0,0.34424,0.87016,0.022571,-0.078913,0,0,5.3761,0
84,-0.35415,0.53902,-0.49693,-0.098846,0,0.46782,0.93355,0.010774,-0.042688,0,0,6.2206,0
84,-0.84494,0.54247,-0.49039,-0.097545,0,-0.17756,1,-1.4503e-19,1.7488e-17,0,0,7.0204,0
84,-0.058474,0.54689,-0.5125,-0.084621,0,-0.93367,0.81376,0.027691,-0.087833,0,0,3.8003,0
84,0.024288,0.55041,-0.50576,-0.08351,0,-0.1435,0.87568,0.016321,-0.062679,0,0,4.3131,0
84,-0.022763,0.55486,-0.49901,-0.082399,0,0.17052,0.93776,0.0070904,-0.033402,0,0,4.8019,0
84,-0.19963,0.56025,-0.49226,-0.081288,0,0.0083908,1,-2.0452e-19,1.8105e-17,0,0,5.2666,0
84,-0.047802,0.55857,-0.515,-0.067795,0,-1.1979,0.81336,0.022219,-0.067837,0,0,2.9688,0
84,0.047955,0.56216,-0.50822,-0.0669,0,-0.495,0.87541,0.012319,-0.048177,0,0,3.3052,0
84,0.10458,0.56668,-0.50144,-0.066004,0,-0.083676,0.93762,0.0049126,-0.025564,0,0,3.6428,0
84,0.12206,0.57212,-0.49466,-0.065109,0,0.036093,1,-1.1783e-18,1.9521e-17,0,0,3.9817,0
84,-0.035781,0.56743,-0.5175,-0.050969,0,-1.3409,0.80862,0.018975,-0.048689,0,0,1.9926,0
84,-0.024104,0.57091,-0.51086,-0.050316,0,-0.71026,0.86934,0.010566,-0.035405,0,0,2.3522,0
84,0.027862,0.57446,-0.50423,-0.049662,0,-0.29476,0.93313,0.0042406,-0.019175,0,0,2.7433,0
84,0.12011,0.57808,-0.49759,-0.049009,0,-0.094451,1,-3.0663e-18,2.1737e-17,0,0,3.1658,0
84,-0.076834,0.47185,-0.49761,-0.15095,0,0.74197,0.81173,0.062254,-0.16205,0,0,6.8747,0
84,-0.12001,0.47474,-0.49123,-0.14901,0,1.5518,0.87147,0.042174,-0.11749,0,0,8.198,0
84,-0.48883,0.47777,-0.48485,-0.14708,0,1.1647,0.93423,0.021422,-0.063477,0,0,9.4747,0
84,-1.1833,0.48096,-0.47847,-0.14514,0,-0.41937,1,2.6254e-18,2.1968e-17,0,0,10.705,0
84,-0.057832,0.49452,-0.50174,-0.13445,0,0.29373,0.81539,0.050887,-0.14272,0,0,6.3329,0
84,0.012453,0.49771,-0.49514,-0.13268,0,0.88501,0.87678,0.032963,-0.10159,0,0,7.1459,0
84,-0.074003,0.50183,-0.48853,-0.13091,0,0.78175,0.93832,0.016001,-0.054017,0,0,7.9275,0
84,-0.3172,0.50686,-0.48193,-0.12915,0,-0.016073,1,-1.9394e-18,4.1671e-17,0,0,8.6775,0
84,-0.038885,0.51471,-0.50587,-0.11795,0,-0.14385,0.81476,0.041933,-0.12493,0,0,5.5394,0
84,0.053925,0.51802,-0.49922,-0.11639,0,0.30664,0.87634,0.026429,-0.088731,0,0,6.1917,0
84,0.14856,0.52224,-0.49256,-0.11484,0,0.36441,0.93809,0.012451,-0.047088,0,0,6.8362,0
84,0.24502,0.52737,-0.4859,-0.11328,0,0.02949,1,-3.5329e-18,4.5832e-17,0,0,7.4729,0
84,-0.019993,0.53241,-0.51001,-0.10145,0,-0.57076,0.80982,0.035392,-0.10868,0,0,4.4942,0
