Time,"DIVERGENCE","P","Points:0","Points:1","Points:2","Q","T","U","V","VORTICITY_X","VORTICITY_Y","VORTICITY_Z","W"
28,-0.056831,0.56389,-0.5175,-0.050969,0,-1.3344,0.80862,0.019004,-0.048884,0,0,1.9799,0
28,-0.068364,0.56737,-0.51086,-0.050316,0,-0.46528,0.86934,0.01059,-0.035602,0,0,2.4,0
28,-0.20953,0.57092,-0.50423,-0.049662,0,-0.035845,0.93313,0.0042551,-0.019307,0,0,2.7791,0
28,-0.48034,0.57455,-0.49759,-0.049009,0,-0.046102,1,6.6461e-19,1.5156e-17,0,0,3.117,0
28,-0.056675,0.56962,-0.51833,-0.033979,0,-1.5704,0.81282,0.015297,-0.02764,0,0,1.1619,0
28,0.035022,0.57331,-0.51151,-0.033535,0,-0.70608,0.87506,0.007397,-0.019931,0,0,1.3537,0
28,0.028686,0.57795,-0.50468,-0.033091,0,-0.17377,0.93745,0.0022979,-0.010717,0,0,1.5296,0
28,-0.075683,0.58353,-0.49786,-0.032646,0,0.026508,1,7.7327e-19,6.0788e-18,0,0,1.6896,0
28,-0.054493,0.57237,-0.51916,-0.01699,0,-1.6335,0.81267,0.013738,-0.0065115,0,0,0.31079,0
28,0.040218,0.57609,-0.51233,-0.016763,0,-0.78765,0.87495,0.0062512,-0.0045824,0,0,0.31797,0
28,0.056787,0.58074,-0.5055,-0.016537,0,-0.23225,0.93739,0.0016719,-0.0024119,0,0,0.33546,0
28,-0.004785,0.58634,-0.49866,-0.01631,0,0.032736,1,5.9622e-19,5.9112e-20,0,0,0.36324,0
28,-0.050286,0.57214,-0.52,0,0,-1.5235,0.80816,0.014325,0.014502,0,0,-0.57342,0
28,-0.052777,0.57569,-0.51333,0,0,-0.70999,0.86902,0.0071523,0.010443,0,0,-0.70719,0
28,-0.12523,0.5793,-0.50667,0,0,-0.2113,0.93297,0.0023773,0.0056091,0,0,-0.80342,0
28,-0.26765,0.58298,-0.5,0,0,-0.027418,1,1.3346e-19,-2.9035e-18,0,0,-0.86211,0
28,-0.067926,0.52794,-0.51001,-0.10145,0,-0.5506,0.8098,0.035461,-0.10893,0,0,4.4843,0
28,-0.095365,0.5312,-0.50347,-0.10015,0,0.34733,0.87015,0.022628,-0.079151,0,0,5.3842,0
28,-0.3554,0.53456,-0.49693,-0.098846,0,0.47126,0.93355,0.010808,-0.042842,0,0,6.2392,0
28,-0.84804,0.53802,-0.49039,-0.097545,0,-0.17883,1,-5.3178e-18,3.7861e-17,0,0,7.0495,0
28,-0.058578,0.54274,-0.5125,-0.084621,0,-0.93545,0.81375,0.027744,-0.088063,0,0,3.798,0
28,0.024259,0.54626,-0.50576,-0.08351,0,-0.14172,0.87568,0.016364,-0.062898,0,0,4.3204,0
28,-0.023079,0.55072,-0.49901,-0.082399,0,0.17291,0.93776,0.007116,-0.033544,0,0,4.8186,0
28,-0.20059,0.55611,-0.49226,-0.081288,0,0.0084251,1,-6.3862e-19,2.0276e-17,0,0,5.2925,0
28,-0.047867,0.55472,-0.515,-0.067795,0,-1.1992,0.81335,0.022258,-0.06805,0,0,2.9659,0
28,0.048065,0.55832,-0.50822,-0.0669,0,-0.49431,0.87541,0.012351,-0.048382,0,0,3.3115,0
28,0.10498,0.56284,-0.50144,-0.066004,0,-0.082494,0.93762,0.0049317,-0.025699,0,0,3.6583,0
28,0.12288,0.56829,-0.49466,-0.065109,0,0.036197,1,9.5483e-19,1.3548e-17,0,0,4.0062,0
28,-0.035795,0.56389,-0.5175,-0.050969,0,-1.342,0.80862,0.019004,-0.048884,0,0,1.988,0
28,-0.023947,0.56737,-0.51086,-0.050316,0,-0.71045,0.86934,0.01059,-0.035602,0,0,2.3575,0
28,0.028774,0.57092,-0.50423,-0.049662,0,-0.29495,0.93313,0.0042551,-0.019307,0,0,2.7584,0
28,0.12237,0.57455,-0.49759,-0.049009,0,-0.095513,1,-5.3742e-19,1.7677e-17,0,0,3.1907,0
28,-0.077032,0.46639,-0.49761,-0.15095,0,0.74128,0.8117,0.06239,-0.16239,0,0,6.8757,0
28,-0.12035,0.46928,-0.49123,-0.14901,0,1.5591,0.87145,0.042283,-0.1178,0,0,8.2111,0
28,-0.49043,0.47232,-0.48485,-0.14708,0,1.1713,0.93421,0.021487,-0.06367,0,0,9.4995,0
28,-1.1873,0.47552,-0.47847,-0.14514,0,-0.4221,1,-1.2233e-17,2.4925e-18,0,0,10.741,0
28,-0.058004,0.4894,-0.50174,-0.13445,0,0.29313,0.81537,0.050996,-0.14303,0,0,6.3338,0
28,0.012439,0.4926,-0.49514,-0.13268,0,0.88993,0.87676,0.03305,-0.10187,0,0,7.1573,0
28,-0.074361,0.49672,-0.48853,-0.13091,0,0.78687,0.93831,0.016051,-0.054192,0,0,7.9492,0
28,-0.3184,0.50177,-0.48193,-0.12915,0,-0.01607,1,-4.1336e-18,3.6642e-17,0,0,8.7093,0
28,-0.039008,0.50992,-0.50587,-0.11795,0,-0.14476,0.81473,0.04202,-0.12521,0,0,5.5391,0
28,0.054077,0.51323,-0.49922,-0.11639,0,0.30944,0.87633,0.026499,-0.088986,0,0,6.2014,0
28,0.14907,0.51746,-0.49256,-0.11484,0,0.36758,0.93808,0.012492,-0.047249,0,0,6.8558,0
28,0.24598,0.5226,-0.4859,-0.11328,0,0.029668,1,-3.6909e-18,4.4963e-17,0,0,7.5022,0
28,-0.020044,0.52794,-0.51001,-0.10145,0,-0.57237,0.8098,0.035461,-0.10893,0,0,4.4916,0
28,0.0045643,0.5312,-0.50347,-0.10015,0,-0.18235,0.87015,0.022628,-0.079151,0,0,5.3433,0
28,0.17987,0.53456,-0.49693,-0.098846,0,-0.086524,0.93355,0.010808,-0.042842,0,0,6.2194,0
28,0.50587,0.53802,-0.49039,-0.097545,0,-0.28488,1,-1.0905e-17,2.7457e-17,0,0,7.1198,0
28,-0.084,0.38263,-0.48042,-0.19899,0,2.4079,0.81433,0.097684,-0.20647,0,0,9.0995,0
28,-0.14253,0.38503,-0.47426,-0.19644,0,3.0321,0.87325,0.067974,-0.14947,0,0,10.807,0
28,-0.61068,0.38765,-0.4681,-0.19389,0,1.9812,0.93514,0.035413,-0.080646,0,0,12.468,0
28,-1.4885,0.39047,-0.46194,-0.19134,0,-0.74499,1,-1.8789e-17,3.4466e-17,0,0,14.081,0
28,-0.055186,0.41258,-0.48615,-0.18298,0,1.9835,0.8177,0.083226,-0.18962,0,0,8.7111,0
28,-3.505e-05,0.41532,-0.47975,-0.18057,0,2.2685,0.87833,0.056105,-0.13472,0,0,9.7905,0
28,-0.12352,0.41897,-0.47335,-0.17817,0,1.5926,0.9391,0.028362,-0.07151,0,0,10.832,0
28,-0.42564,0.42352,-0.46695,-0.17576,0,-0.044345,1,-1.5063e-17,4.7618e-17,0,0,11.836,0
