Time,"DIVERGENCE","P","Points:0","Points:1","Points:2","Q","T","U","V","VORTICITY_X","VORTICITY_Y","VORTICITY_Z","W"
56,-0.056688,0.56687,-0.5175,-0.050969,0,-1.3366,0.80863,0.018942,-0.048307,0,0,1.9632,0
56,-0.068045,0.57035,-0.51086,-0.050316,0,-0.4698,0.86934,0.010543,-0.035157,0,0,2.3747,0
56,-0.20788,0.5739,-0.50423,-0.049662,0,-0.039421,0.93313,0.0042294,-0.019055,0,0,2.7451,0
56,-0.4762,0.57753,-0.49759,-0.049009,0,-0.045443,1,-1.8579e-18,8.8332e-18,0,0,3.0745,0
56,-0.056618,0.57238,-0.51833,-0.033979,0,-1.5717,0.81283,0.015257,-0.027074,0,0,1.1441,0
56,0.035119,0.57607,-0.51151,-0.033535,0,-0.70828,0.87506,0.0073672,-0.019503,0,0,1.3288,0
56,0.029221,0.58071,-0.50468,-0.033091,0,-0.1755,0.93745,0.0022815,-0.010478,0,0,1.4978,0
56,-0.074313,0.58628,-0.49786,-0.032646,0,0.0266,1,3.3385e-20,6.9269e-18,0,0,1.6509,0
56,-0.054524,0.57491,-0.51916,-0.01699,0,-1.6338,0.81267,0.013718,-0.0059479,0,0,0.29307,0
56,0.040109,0.57863,-0.51233,-0.016763,0,-0.78752,0.87495,0.0062369,-0.0041567,0,0,0.29324,0
56,0.05624,0.58328,-0.5055,-0.016537,0,-0.23205,0.93739,0.0016642,-0.002174,0,0,0.30381,0
56,-0.0061312,0.58888,-0.49866,-0.01631,0,0.032648,1,2.1044e-19,2.6777e-18,0,0,0.32479,0
56,-0.050405,0.57446,-0.52,0,0,-1.5227,0.80816,0.014325,0.015072,0,0,-0.58978,0
56,-0.053076,0.57801,-0.51333,0,0,-0.70754,0.86902,0.0071525,0.010882,0,0,-0.73209,0
56,-0.12682,0.58162,-0.50667,0,0,-0.20908,0.93297,0.0023774,0.0058583,0,0,-0.83681,0
56,-0.27165,0.5853,-0.5,0,0,-0.027298,1,-1.3268e-18,-3.9144e-18,0,0,-0.90394,0
56,-0.067751,0.53159,-0.51001,-0.10145,0,-0.55649,0.80982,0.035331,-0.10832,0,0,4.4664,0
56,-0.095012,0.53485,-0.50347,-0.10015,0,0.33818,0.87016,0.022531,-0.078688,0,0,5.3572,0
56,-0.35362,0.53821,-0.49693,-0.098846,0,0.46478,0.93355,0.010754,-0.04258,0,0,6.2033,0
56,-0.84358,0.54167,-0.49039,-0.097545,0,-0.17666,1,4.0461e-19,1.8385e-17,0,0,7.0047,0
56,-0.058488,0.54617,-0.5125,-0.084621,0,-0.94079,0.81376,0.027639,-0.087479,0,0,3.7792,0
56,0.024346,0.54969,-0.50576,-0.08351,0,-0.14841,0.87568,0.016287,-0.062457,0,0,4.2943,0
56,-0.022538,0.55414,-0.49901,-0.082399,0,0.16804,0.93776,0.007074,-0.033298,0,0,4.7853,0
56,-0.19914,0.55953,-0.49226,-0.081288,0,0.0085601,1,4.3834e-19,1.4881e-17,0,0,5.2522,0
56,-0.047868,0.55793,-0.515,-0.067795,0,-1.2034,0.81336,0.022176,-0.067474,0,0,2.9475,0
56,0.04794,0.56152,-0.50822,-0.0669,0,-0.49847,0.87541,0.012291,-0.047947,0,0,3.2859,0
56,0.1044,0.56604,-0.50144,-0.066004,0,-0.085275,0.93762,0.0048991,-0.025456,0,0,3.6257,0
56,0.12151,0.57148,-0.49466,-0.065109,0,0.036129,1,1.5006e-18,5.3204e-18,0,0,3.9667,0
56,-0.035891,0.56687,-0.5175,-0.050969,0,-1.3444,0.80863,0.018942,-0.048307,0,0,1.9713,0
56,-0.024231,0.57035,-0.51086,-0.050316,0,-0.71199,0.86934,0.010543,-0.035157,0,0,2.3321,0
56,0.027193,0.5739,-0.50423,-0.049662,0,-0.29516,0.93313,0.0042294,-0.019055,0,0,2.7244,0
56,0.11838,0.57753,-0.49759,-0.049009,0,-0.093957,1,3.5915e-18,-1.0297e-17,0,0,3.1481,0
56,-0.076819,0.47075,-0.49761,-0.15095,0,0.73067,0.81173,0.062178,-0.16175,0,0,6.8558,0
56,-0.11995,0.47364,-0.49123,-0.14901,0,1.5444,0.87147,0.042125,-0.11731,0,0,8.1814,0
56,-0.48846,0.47668,-0.48485,-0.14708,0,1.1614,0.93422,0.021399,-0.063391,0,0,9.4602,0
56,-1.1823,0.47987,-0.47847,-0.14514,0,-0.41824,1,1.1431e-18,1.7186e-17,0,0,10.692,0
56,-0.05788,0.49352,-0.50174,-0.13445,0,0.28284,0.81539,0.050816,-0.14241,0,0,6.3132,0
56,0.01252,0.49672,-0.49514,-0.13268,0,0.87797,0.87678,0.032918,-0.1014,0,0,7.1289,0
56,-0.073794,0.50084,-0.48853,-0.13091,0,0.7784,0.93831,0.01598,-0.053932,0,0,7.9132,0
56,-0.31682,0.50588,-0.48193,-0.12915,0,-0.015866,1,1.1239e-18,2.5337e-17,0,0,8.6659,0
56,-0.03898,0.5138,-0.50587,-0.11795,0,-0.15354,0.81476,0.041867,-0.12461,0,0,5.5192,0
56,0.053931,0.51712,-0.49922,-0.11639,0,0.30048,0.87634,0.026387,-0.08853,0,0,6.174,0
56,0.14844,0.52135,-0.49256,-0.11484,0,0.36153,0.93809,0.012431,-0.046995,0,0,6.8209,0
56,0.24454,0.52648,-0.4859,-0.11328,0,0.029619,1,-3.8103e-19,3.1888e-17,0,0,7.4601,0
56,-0.02012,0.53159,-0.51001,-0.10145,0,-0.57847,0.80982,0.035331,-0.10832,0,0,4.4737,0
56,0.0042845,0.53485,-0.50347,-0.10015,0,-0.18813,0.87016,0.022531,-0.078688,0,0,5.3164,0
56,0.17824,0.53821,-0.49693,-0.098846,0,-0.089232,0.93355,0.010754,-0.04258,0,0,6.1835,0
56,0.50175,0.54167,-0.49039,-0.097545,0,-0.28178,1,-3.3717e-18,3.6839e-17,0,0,7.0749,0
56,-0.083743,0.38775,-0.48042,-0.19899,0,2.3911,0.81437,0.097371,-0.20578,0,0,9.0765,0
56,-0.14207,0.39015,-0.47426,-0.19644,0,3.0104,0.87328,0.06774,-0.14894,0,0,10.774,0
56,-0.60844,0.39277,-0.4681,-0.19389,0,1.967,0.93516,0.035283,-0.080345,0,0,12.424,0
56,-1.4829,0.39559,-0.46194,-0.19134,0,-0.73914,1,-1.5109e-17,4.1158e-17,0,0,14.026,0
56,-0.055025,0.41744,-0.48615,-0.18298,0,1.9668,0.81774,0.082954,-0.18895,0,0,8.6876,0
56,4.3347e-05,0.42018,-0.47975,-0.18057,0,2.2501,0.87835,0.055905,-0.13421,0,0,9.7587,0
56,-0.1229,0.42383,-0.47335,-0.17817,0,1.5798,0.93911,0.028254,-0.07123,0,0,10.792,0
56,-0.42387,0.42837,-0.46695,-0.17576,0,-0.044039,1,-1.2844e-17,1.9657e-17,0,0,11.788,0
56,-0.028222,0.44511,-0.49188,-0.16696,0,1.3987,0.81686,0.071223,-0.17428,0,0,7.9493,0
56,0.057993,0.44801,-0.4854,-0.16476,0,1.5117,0.87775,0.047367,-0.12367,0,0,8.8819,0
56,0.18715,0.4518,-0.47893,-0.16256,0,1.0501,0.9388,0.023626,-0.065579,0,0,9.798,0
56,0.35925,0.45646,-0.47246,-0.16036,0,0.013862,1,-1.0808e-17,1.7355e-17,0,0,10.698,0
56,-0.0033335,0.47075,-0.49761,-0.15095,0,0.68667,0.81173,0.062178,-0.16175,0,0,6.8616,0
56,0.031781,0.47364,-0.49123,-0.14901,0,0.7953,0.87147,0.042125,-0.11731,0,0,8.1433,0
56,0.32172,0.47668,-0.48485,-0.14708,0,0.37793,0.93422,0.021399,-0.063391,0,0,9.4417,0
56,0.86648,0.47987,-0.47847,-0.14514,0,-0.56543,1,-9.0004e-18,3.4253e-17,0,0,10.757,0
56,-0.088425,0.28713,-0.4586,-0.24513,0,4.2466,0.81776,0.13815,-0.23821,0,0,11.073,0
56,-0.16047,0.28895,-0.45272,-0.24198,0,4.5614,0.8756,0.097308,-0.17197,0,0,13.062,0
56,-0.70916,0.29105,-0.44684,-0.23884,0,2.7801,0.93635,0.051259,-0.092567,0,0,15.004,0
56,-1.7345,0.29341,-0.44096,-0.2357,0,-1.0975,1,-9.5805e-18,9.1534e-18,0,0,16.9,0
56,-0.049971,0.32211,-0.46587,-0.22975,0,3.9301,0.82081,0.12153,-0.22472,0,0,10.844,0
56,-0.012696,0.32429,-0.45974,-0.22673,0,3.8069,0.88041,0.083395,-0.15918,0,0,12.112,0
56,-0.16829,0.32733,-0.4536,-0.22371,0,2.4726,0.94014,0.042884,-0.084271,0,0,13.337,0
