Time,"DIVERGENCE","P","Points:0","Points:1","Points:2","Q","T","U","V","VORTICITY_X","VORTICITY_Y","VORTICITY_Z","W"
52,-0.057756,0.56233,-0.5175,-0.050969,0,-1.2987,0.80859,0.019421,-0.053259,0,0,2.1782,0
52,-0.070094,0.5658,-0.51086,-0.050316,0,-0.42636,0.86932,0.010883,-0.038647,0,0,2.6153,0
52,-0.2188,0.56935,-0.50423,-0.049662,0,-0.010521,0.93312,0.0044093,-0.020894,0,0,3.0113,0
52,-0.50389,0.57297,-0.49759,-0.049009,0,-0.051133,1,-1.0412e-18,-6.7245e-19,0,0,3.3661,0
52,-0.056948,0.56815,-0.51833,-0.033979,0,-1.5484,0.8128,0.015573,-0.031946,0,0,1.3666,0
52,0.034419,0.57184,-0.51151,-0.033535,0,-0.68542,0.87504,0.0075877,-0.022864,0,0,1.5652,0
52,0.025548,0.57647,-0.50468,-0.033091,0,-0.16078,0.93744,0.0023966,-0.012215,0,0,1.7476,0
52,-0.083564,0.58204,-0.49786,-0.032646,0,0.025483,1,8.1497e-20,4.9805e-19,0,0,1.9136,0
52,-0.054131,0.57099,-0.51916,-0.01699,0,-1.6265,0.81265,0.013875,-0.010832,0,0,0.51571,0
52,0.040772,0.57471,-0.51233,-0.016763,0,-0.78579,0.87493,0.0063445,-0.0075263,0,0,0.52981,0
52,0.059863,0.57936,-0.5055,-0.016537,0,-0.2325,0.93739,0.0017193,-0.0039157,0,0,0.55386,0
52,0.0031427,0.58495,-0.49866,-0.01631,0,0.033348,1,3.4707e-19,2.2685e-18,0,0,0.58784,0
52,-0.049304,0.57086,-0.52,0,0,-1.5329,0.80814,0.014327,0.010084,0,0,-0.37458,0
52,-0.051038,0.57441,-0.51333,0,0,-0.72747,0.86901,0.0071534,0.0073651,0,0,-0.49093,0
52,-0.11586,0.57802,-0.50667,0,0,-0.22569,0.93296,0.0023776,0.0040037,0,0,-0.56984,0
52,-0.24377,0.5817,-0.5,0,0,-0.027538,1,-2.4449e-19,4.639e-18,0,0,-0.61133,0
52,-0.068762,0.52616,-0.51001,-0.10145,0,-0.47427,0.80976,0.036272,-0.11315,0,0,4.68,0
52,-0.097046,0.5294,-0.50347,-0.10015,0,0.41807,0.87012,0.023197,-0.082084,0,0,5.5954,0
52,-0.36437,0.53275,-0.49693,-0.098846,0,0.51224,0.93353,0.011107,-0.044367,0,0,6.4659,0
52,-0.87072,0.5362,-0.49039,-0.097545,0,-0.19177,1,-2.662e-18,2.0063e-17,0,0,7.2917,0
52,-0.058736,0.54102,-0.5125,-0.084621,0,-0.86802,0.81371,0.028415,-0.092256,0,0,4.0006,0
52,0.023596,0.54453,-0.50576,-0.08351,0,-0.086237,0.87565,0.016826,-0.065748,0,0,4.5289,0
52,-0.026253,0.54897,-0.49901,-0.082399,0,0.20538,0.93775,0.0073544,-0.034996,0,0,5.0326,0
52,-0.20828,0.55436,-0.49226,-0.081288,0,0.0068179,1,2.4663e-19,2.1833e-17,0,0,5.5118,0
52,-0.047397,0.55308,-0.515,-0.067795,0,-1.1461,0.81332,0.022798,-0.072293,0,0,3.1694,0
52,0.04854,0.55666,-0.50822,-0.0669,0,-0.45639,0.87538,0.012721,-0.051269,0,0,3.5214,0
52,0.10791,0.56117,-0.50144,-0.066004,0,-0.062301,0.93761,0.005122,-0.027172,0,0,3.8742,0
52,0.13071,0.56661,-0.49466,-0.065109,0,0.036117,1,6.9581e-20,1.4574e-17,0,0,4.2277,0
52,-0.034745,0.56233,-0.5175,-0.050969,0,-1.3086,0.80859,0.019421,-0.053259,0,0,2.1862,0
52,-0.022215,0.5658,-0.51086,-0.050316,0,-0.69238,0.86932,0.010883,-0.038647,0,0,2.5728,0
52,0.038123,0.56935,-0.50423,-0.049662,0,-0.29079,0.93312,0.0044093,-0.020894,0,0,2.9906,0
52,0.14627,0.57297,-0.49759,-0.049009,0,-0.10387,1,-3.1932e-18,-1.7137e-18,0,0,3.4396,0
52,-0.077762,0.46452,-0.49761,-0.15095,0,0.85317,0.81165,0.063544,-0.16636,0,0,7.0665,0
52,-0.12194,0.4674,-0.49123,-0.14901,0,1.6559,0.87141,0.04309,-0.12054,0,0,8.4149,0
52,-0.49886,0.47042,-0.48485,-0.14708,0,1.2243,0.9342,0.021909,-0.065089,0,0,9.7164,0
52,-1.2085,0.4736,-0.47847,-0.14514,0,-0.44171,1,-2.0234e-17,4.2215e-17,0,0,10.971,0
52,-0.058036,0.48754,-0.50174,-0.13445,0,0.40135,0.81532,0.052022,-0.14701,0,0,6.5321,0
52,0.011726,0.49072,-0.49514,-0.13268,0,0.9757,0.87673,0.033754,-0.10456,0,0,7.3596,0
52,-0.077504,0.49482,-0.48853,-0.13091,0,0.83587,0.93829,0.016414,-0.055557,0,0,8.1553,0
52,-0.32573,0.49985,-0.48193,-0.12915,0,-0.018142,1,-1.3485e-17,3.913e-17,0,0,8.919,0
52,-0.038426,0.50809,-0.50587,-0.11795,0,-0.049301,0.81469,0.042931,-0.12927,0,0,5.739,0
52,0.05446,0.51139,-0.49922,-0.11639,0,0.38029,0.8763,0.027123,-0.09174,0,0,6.4062,0
52,0.15179,0.5156,-0.49256,-0.11484,0,0.40636,0.93807,0.012813,-0.04865,0,0,7.0652,0
52,0.25356,0.52072,-0.4859,-0.11328,0,0.028889,1,-8.7928e-18,2.0274e-17,0,0,7.7159,0
52,-0.018933,0.52616,-0.51001,-0.10145,0,-0.49879,0.80976,0.036272,-0.11315,0,0,4.6872,0
52,0.0062617,0.5294,-0.50347,-0.10015,0,-0.13031,0.87012,0.023197,-0.082084,0,0,5.5546,0
52,0.18902,0.53275,-0.49693,-0.098846,0,-0.06425,0.93353,0.011107,-0.044367,0,0,6.4461,0
52,0.52934,0.5362,-0.49039,-0.097545,0,-0.30062,1,-6.1582e-18,-1.4353e-17,0,0,7.3618,0
52,-0.084599,0.38089,-0.48042,-0.19899,0,2.5476,0.81428,0.099106,-0.21008,0,0,9.2828,0
52,-0.14397,0.38327,-0.47426,-0.19644,0,3.1468,0.87322,0.068962,-0.15194,0,0,11,0
52,-0.61833,0.38586,-0.4681,-0.19389,0,2.0411,0.93512,0.035927,-0.081917,0,0,12.67,0
52,-1.5077,0.38867,-0.46194,-0.19134,0,-0.76933,1,-1.5611e-17,6.2035e-17,0,0,14.292,0
52,-0.055079,0.41077,-0.48615,-0.18298,0,2.1248,0.81766,0.084541,-0.19328,0,0,8.9023,0
52,-0.00078627,0.41349,-0.47975,-0.18057,0,2.3774,0.8783,0.057002,-0.13717,0,0,9.9831,0
52,-0.12656,0.41711,-0.47335,-0.17817,0,1.6535,0.93908,0.028822,-0.072747,0,0,11.026,0
52,-0.4324,0.42163,-0.46695,-0.17576,0,-0.046722,1,-9.6374e-18,5.4303e-17,0,0,12.03,0
52,-0.027582,0.43865,-0.49188,-0.16696,0,1.5443,0.81678,0.072687,-0.1787,0,0,8.1654,0
52,0.05844,0.44153,-0.4854,-0.16476,0,1.6244,0.8777,0.048378,-0.12671,0,0,9.1087,0
52,0.19029,0.4453,-0.47893,-0.16256,0,1.1138,0.93877,0.024149,-0.067137,0,0,10.035,0
52,0.36797,0.44994,-0.47246,-0.16036,0,0.012446,1,-7.7783e-18,4.4742e-17,0,0,10.945,0
52,-0.0021055,0.46452,-0.49761,-0.15095,0,0.80593,0.81165,0.063544,-0.16636,0,0,7.0722,0
52,0.033704,0.4674,-0.49123,-0.14901,0,0.88775,0.87141,0.04309,-0.12054,0,0,8.3768,0
52,0.33221,0.47042,-0.48485,-0.14708,0,0.42183,0.9342,0.021909,-0.065089,0,0,9.6979,0
52,0.89342,0.4736,-0.47847,-0.14514,0,-0.59182,1,-1.0034e-17,3.3353e-17,0,0,11.036,0
52,-0.089173,0.27986,-0.4586,-0.24513,0,4.4283,0.81766,0.14017,-0.24212,0,0,11.273,0
52,-0.16225,0.28165,-0.45272,-0.24198,0,4.7136,0.87553,0.098725,-0.17469,0,0,13.278,0
52,-0.71832,0.28372,-0.44684,-0.23884,0,2.8601,0.93631,0.052001,-0.093978,0,0,15.236,0
52,-1.7574,0.28606,-0.44096,-0.2357,0,-1.1321,1,-1.7198e-17,1.2588e-17,0,0,17.149,0
52,-0.049908,0.31495,-0.46587,-0.22975,0,4.1186,0.82071,0.12343,-0.22869,0,0,11.053,0
52,-0.013555,0.3171,-0.45974,-0.22673,0,3.9556,0.88034,0.0847,-0.16188,0,0,12.327,0
52,-0.17183,0.32011,-0.4536,-0.22371,0,2.5575,0.94011,0.043557,-0.085645,0,0,13.559,0
52,-0.52474,0.32398,-0.44747,-0.22068,0,-0.075703,1,-1.2684e-17,2.3462e-17,0,0,14.748,0
52,-0.015075,0.34862,-0.47314,-0.21437,0,3.4657,0.81959,0.10974,-0.21801,0,0,10.391,0
52,0.060389,0.35097,-0.46692,-0.21155,0,3.1332,0.87958,0.074779,-0.15429,0,0,11.556,0
52,0.22225,0.35416,-0.46069,-0.20872,0,1.974,0.93971,0.038199,-0.081625,0,0,12.698,0
52,0.47052,0.35818,-0.45446,-0.2059,0,-0.011812,1,-8.169e-18,3.3421e-17,0,0,13.814,0
52,0.015327,0.38089,-0.48042,-0.19899,0,2.4695,0.81428,0.099106,-0.21008,0,0,9.2866,0
52,0.059583,0.38327,-0.47426,-0.19644,0,2.2464,0.87322,0.068962,-0.15194,0,0,10.966,0
52,0.46394,0.38586,-0.4681,-0.19389,0,1.1098,0.93512,0.035927,-0.081917,0,0,12.653,0
52,1.2284,0.38867,-0.46194,-0.19134,0,-0.94043,1,-3.6542e-18,4.2465e-17,0,0,14.349,0
52,-0.091373,0.16695,-0.43236,-0.2889,0,6.2912,0.82179,0.18345,-0.26105,0,0,12.984,0
52,-0.17599,0.16808,-0.42682,-0.28519,0,6.1732,0.87836,0.12993,-0.18775,0,0,15.181,0
52,-0.79552,0.16956,-0.42128,-0.28149,0,3.5816,0.93776,0.068778,-0.10073,0,0,17.336,0
52,-1.9499,0.17136,-0.41574,-0.27779,0,-1.4836,1,-4.5983e-17,9.1373e-17,0,0,19.448,0
52,-0.042942,0.20532,-0.44111,-0.27431,0,6.1645,0.8245,0.16559,-0.25158,0,0,12.926,0
52,-0.026093,0.20683,-0.4353,-0.2707,0,5.5249,0.88289,0.11458,-0.17749,0,0,14.324,0
52,-0.2117,0.20913,-0.42949,-0.26709,0,3.4361,0.94139,0.05938,-0.093633,0,0,15.675,0
52,-0.59978,0.21223,-0.42368,-0.26348,0,-0.10183,1,-2.5029e-17,5.0922e-17,0,0,16.982,0
52,-0.0014927,0.24296,-0.44985,-0.25972,0,5.5048,0.82313,0.15116,-0.24527,0,0,12.356,0
52,0.060346,0.24468,-0.44393,-0.25629,0,4.7284,0.88194,0.10418,-0.17314,0,0,13.679,0
52,0.24679,0.24718,-0.43801,-0.25287,0,2.8797,0.9409,0.053787,-0.091383,0,0,14.971,0
52,0.55784,0.25047,-0.43209,-0.24945,0,-0.041253,1,-2.556e-17,3.3327e-17,0,0,16.231,0
52,0.032975,0.27986,-0.4586,-0.24513,0,4.312,0.81766,0.14017,-0.24212,0,0,11.275,0
52,0.083321,0.28165,-0.45272,-0.24198,0,3.7838,0.87553,0.098725,-0.17469,0,0,13.248,0
52,0.57997,0.28372,-0.44684,-0.23884,0,1.9124,0.93631,0.052001,-0.093978,0,0,15.222,0
52,1.5229,0.28606,-0.44096,-0.2357,0,-1.3019,1,-4.7577e-17,3.859e-17,0,0,17.197,0
52,-0.091209,0.048268,-0.40196,-0.32989,0,7.9243,0.82671,0.22535,-0.2663,0,0,14.364,0
52,-0.18452,0.048727,-0.39681,-0.32566,0,7.3467,0.88173,0.15992,-0.19077,0,0,16.651,0
52,-0.84691,0.049559,-0.39166,-0.32143,0,4.1126,0.93949,0.084805,-0.102,0,0,18.9,0
52,-2.0784,0.050763,-0.38651,-0.3172,0,-1.7781,1,-1.8088e-17,-1.1891e-18,0,0,21.111,0
52,-0.034487,0.087844,-0.4121,-0.31622,0,8.0328,0.82906,0.20756,-0.26111,0,0,14.467,0
52,-0.03795,0.088662,-0.40667,-0.31206,0,6.8976,0.88594,0.14412,-0.18347,0,0,15.911,0
52,-0.24479,0.090182,-0.40124,-0.3079,0,4.1794,0.94292,0.074932,-0.096432,0,0,17.308,0
52,-0.655,0.092404,-0.39582,-0.30374,0,-0.12194,1,-1.6429e-17,3.0546e-17,0,0,18.657,0
52,0.012678,0.1274,-0.42223,-0.30256,0,7.4365,0.82742,0.1936,-0.25936,0,0,14.007,0
