Time,"DIVERGENCE","P","Points:0","Points:1","Points:2","Q","T","U","V","VORTICITY_X","VORTICITY_Y","VORTICITY_Z","W"
50,-0.058995,0.55679,-0.5175,-0.050969,0,-1.2555,0.80855,0.019974,-0.058852,0,0,2.4048,0
50,-0.072562,0.56025,-0.51086,-0.050316,0,-0.37438,0.86929,0.01128,-0.042663,0,0,2.8819,0
50,-0.23188,0.5638,-0.50423,-0.049662,0,0.024598,0.93311,0.0046216,-0.023045,0,0,3.3176,0
50,-0.53693,0.56742,-0.49759,-0.049009,0,-0.058561,1,-5.1426e-20,5.7122e-18,0,0,3.7119,0
50,-0.057352,0.56332,-0.51833,-0.033979,0,-1.5197,0.81277,0.015937,-0.037446,0,0,1.6023,0
50,0.033595,0.567,-0.51151,-0.033535,0,-0.65635,0.87502,0.0078443,-0.02673,0,0,1.8271,0
50,0.021184,0.57163,-0.50468,-0.033091,0,-0.14169,0.93743,0.0025321,-0.014248,0,0,2.035,0
50,-0.094586,0.57721,-0.49786,-0.032646,0,0.024229,1,-2.6023e-20,5.6729e-18,0,0,2.226,0
50,-0.053712,0.56687,-0.51916,-0.01699,0,-1.6142,0.81263,0.014055,-0.01634,0,0,0.7513,0
50,0.041577,0.57058,-0.51233,-0.016763,0,-0.78031,0.87493,0.0064689,-0.011398,0,0,0.79162,0
50,0.064192,0.57524,-0.5055,-0.016537,0,-0.23088,0.93738,0.0017841,-0.0059514,0,0,0.84126,0
50,0.014133,0.58083,-0.49866,-0.01631,0,0.034084,1,-8.0061e-19,4.4335e-18,0,0,0.90021,0
50,-0.048075,0.56745,-0.52,0,0,-1.5389,0.80814,0.014328,0.0044684,0,0,-0.14832,0
50,-0.048616,0.57099,-0.51333,0,0,-0.74626,0.86901,0.0071535,0.0033327,0,0,-0.22458,0
50,-0.10285,0.57461,-0.50667,0,0,-0.24295,0.93296,0.0023776,0.0018432,0,0,-0.26368,0
50,-0.21078,0.57829,-0.5,0,0,-0.028994,1,-2.3752e-18,1.9942e-18,0,0,-0.26562,0
50,-0.070012,0.5185,-0.51001,-0.10145,0,-0.38391,0.80968,0.037373,-0.11867,0,0,4.9074,0
50,-0.099566,0.52174,-0.50347,-0.10015,0,0.5119,0.87007,0.023987,-0.086045,0,0,5.8625,0
50,-0.37751,0.52508,-0.49693,-0.098846,0,0.56967,0.9335,0.011529,-0.046489,0,0,6.7726,0
50,-0.90384,0.52853,-0.49039,-0.097545,0,-0.21061,1,3.3393e-18,3.0145e-17,0,0,7.6376,0
50,-0.059129,0.53407,-0.5125,-0.084621,0,-0.78677,0.81365,0.029318,-0.097701,0,0,4.237,0
50,0.022745,0.53757,-0.50576,-0.08351,0,-0.012964,0.87561,0.017462,-0.069574,0,0,4.7912,0
50,-0.030662,0.54201,-0.49901,-0.082399,0,0.25093,0.93773,0.007689,-0.037007,0,0,5.3203,0
50,-0.21935,0.54739,-0.49226,-0.081288,0,0.0049136,1,-1.3682e-18,2.4618e-17,0,0,5.8242,0
50,-0.046966,0.54683,-0.515,-0.067795,0,-1.0811,0.81327,0.023518,-0.077762,0,0,3.4054,0
50,0.04932,0.55041,-0.50822,-0.0669,0,-0.40617,0.87535,0.013226,-0.055113,0,0,3.7835,0
50,0.1122,0.55491,-0.50144,-0.066004,0,-0.033741,0.93759,0.0053864,-0.029192,0,0,4.1618,0
50,0.14166,0.56035,-0.49466,-0.065109,0,0.036171,1,-7.0422e-19,1.612e-17,0,0,4.5402,0
50,-0.033523,0.55679,-0.5175,-0.050969,0,-1.2669,0.80855,0.019974,-0.058852,0,0,2.4128,0
50,-0.019843,0.56025,-0.51086,-0.050316,0,-0.66771,0.86929,0.01128,-0.042663,0,0,2.8394,0
50,0.051063,0.5638,-0.50423,-0.049662,0,-0.28434,0.93311,0.0046216,-0.023045,0,0,3.2969,0
50,0.1792,0.56742,-0.49759,-0.049009,0,-0.11684,1,5.3311e-18,4.65e-18,0,0,3.7854,0
50,-0.079022,0.45479,-0.49761,-0.15095,0,0.98894,0.81154,0.065186,-0.17176,0,0,7.2952,0
50,-0.1245,0.45764,-0.49123,-0.14901,0,1.789,0.87134,0.044267,-0.12441,0,0,8.6829,0
50,-0.51206,0.46066,-0.48485,-0.14708,0,1.3023,0.93416,0.022538,-0.067159,0,0,10.023,0
50,-1.2417,0.46384,-0.47847,-0.14514,0,-0.47136,1,-3.1724e-19,4.2112e-17,0,0,11.317,0
50,-0.058411,0.47849,-0.50174,-0.13445,0,0.53339,0.81522,0.053458,-0.15235,0,0,6.7695,0
50,0.010848,0.48166,-0.49514,-0.13268,0,1.0912,0.87667,0.034763,-0.10831,0,0,7.6227,0
50,-0.081958,0.48575,-0.48853,-0.13091,0,0.90648,0.93826,0.016944,-0.057526,0,0,8.4433,0
50,-0.33683,0.49078,-0.48193,-0.12915,0,-0.02066,1,-7.5059e-18,2.5135e-17,0,0,9.2314,0
50,-0.037975,0.49973,-0.50587,-0.11795,0,0.066948,0.81461,0.044187,-0.13465,0,0,5.976,0
50,0.055213,0.50302,-0.49922,-0.11639,0,0.47383,0.87624,0.028004,-0.095519,0,0,6.669,0
50,0.15603,0.50723,-0.49256,-0.11484,0,0.46094,0.93804,0.013275,-0.050635,0,0,7.3531,0
