Time,"DIVERGENCE","P","Points:0","Points:1","Points:2","Q","T","U","V","VORTICITY_X","VORTICITY_Y","VORTICITY_Z","W"
54,-0.056937,0.56655,-0.5175,-0.050969,0,-1.3263,0.80862,0.019055,-0.049517,0,0,2.0214,0
54,-0.068492,0.57003,-0.51086,-0.050316,0,-0.45921,0.86934,0.010622,-0.035984,0,0,2.4353,0
54,-0.21029,0.57358,-0.50423,-0.049662,0,-0.032702,0.93313,0.0042701,-0.019478,0,0,2.8081,0
54,-0.48233,0.5772,-0.49759,-0.049009,0,-0.046743,1,-1.0762e-18,1.1516e-17,0,0,3.1399,0
54,-0.056687,0.57201,-0.51833,-0.033979,0,-1.5656,0.81282,0.015332,-0.028265,0,0,1.204,0
54,0.034959,0.5757,-0.51151,-0.033535,0,-0.70279,0.87505,0.0074183,-0.020299,0,0,1.3884,0
54,0.028398,0.58034,-0.50468,-0.033091,0,-0.17215,0.93745,0.0023076,-0.010877,0,0,1.5569,0
54,-0.076371,0.58591,-0.49786,-0.032646,0,0.026308,1,1.0216e-18,6.2844e-18,0,0,1.7096,0
54,-0.054419,0.57449,-0.51916,-0.01699,0,-1.6322,0.81266,0.013756,-0.0071441,0,0,0.35306,0
54,0.04025,0.57821,-0.51233,-0.016763,0,-0.78729,0.87494,0.0062621,-0.0049566,0,0,0.35294,0
54,0.057039,0.58286,-0.5055,-0.016537,0,-0.2323,0.93739,0.0016768,-0.0025753,0,0,0.36314,0
54,-0.0040491,0.58846,-0.49866,-0.01631,0,0.032822,1,1.1765e-18,1.6811e-18,0,0,0.38366,0
54,-0.050131,0.574,-0.52,0,0,-1.5259,0.80815,0.014326,0.013847,0,0,-0.53127,0
54,-0.05262,0.57754,-0.51333,0,0,-0.71272,0.86901,0.007153,0.010044,0,0,-0.67103,0
54,-0.12437,0.58116,-0.50667,0,0,-0.21314,0.93296,0.0023775,0.0054284,0,0,-0.77321,0
54,-0.26537,0.58484,-0.5,0,0,-0.027201,1,-6.1144e-19,-2.2936e-18,0,0,-0.83782,0
54,-0.067959,0.53145,-0.51001,-0.10145,0,-0.53436,0.80981,0.035547,-0.10948,0,0,4.5234,0
54,-0.09543,0.5347,-0.50347,-0.10015,0,0.35743,0.87015,0.02268,-0.079473,0,0,5.416,0
54,-0.35589,0.53806,-0.49693,-0.098846,0,0.47555,0.93355,0.010831,-0.04298,0,0,6.2638,0
54,-0.84933,0.54151,-0.49039,-0.097545,0,-0.17999,1,-6.3321e-18,2.7438e-18,0,0,7.0671,0
54,-0.058508,0.54596,-0.5125,-0.084621,0,-0.9214,0.81375,0.027819,-0.088628,0,0,3.8381,0
54,0.024163,0.54948,-0.50576,-0.08351,0,-0.13325,0.87568,0.016409,-0.063222,0,0,4.3525,0
54,-0.023371,0.55393,-0.49901,-0.082399,0,0.17659,0.93776,0.0071361,-0.03368,0,0,4.8427,0
54,-0.20111,0.55931,-0.49226,-0.081288,0,0.008095,1,-4.3113e-18,3.764e-18,0,0,5.3087,0
54,-0.047717,0.55766,-0.515,-0.067795,0,-1.1883,0.81335,0.022322,-0.068641,0,0,3.0068,0
54,0.048049,0.56125,-0.50822,-0.0669,0,-0.48809,0.87541,0.01239,-0.048726,0,0,3.3448,0
54,0.10514,0.56577,-0.50144,-0.066004,0,-0.079964,0.93762,0.0049491,-0.025846,0,0,3.6839,0
54,0.12356,0.57121,-0.49466,-0.065109,0,0.036086,1,-3.2047e-18,8.8985e-18,0,0,4.0242,0
54,-0.035586,0.56655,-0.5175,-0.050969,0,-1.335,0.80862,0.019055,-0.049517,0,0,2.0295,0
54,-0.023773,0.57003,-0.51086,-0.050316,0,-0.70709,0.86934,0.010622,-0.035984,0,0,2.3928,0
54,0.029651,0.57358,-0.50423,-0.049662,0,-0.2941,0.93313,0.0042701,-0.019478,0,0,2.7874,0
54,0.12469,0.5772,-0.49759,-0.049009,0,-0.096014,1,-3.0124e-18,1.8147e-17,0,0,3.2135,0
54,-0.07698,0.47083,-0.49761,-0.15095,0,0.76266,0.81172,0.062476,-0.16281,0,0,6.9104,0
54,-0.12032,0.47372,-0.49123,-0.14901,0,1.5701,0.87146,0.04233,-0.11802,0,0,8.2368,0
