Time,"DIVERGENCE","P","Points:0","Points:1","Points:2","Q","T","U","V","VORTICITY_X","VORTICITY_Y","VORTICITY_Z","W"
83,-0.056988,0.56628,-0.5175,-0.050969,0,-1.3245,0.80862,0.019078,-0.049753,0,0,2.0317,0
83,-0.06859,0.56976,-0.51086,-0.050316,0,-0.45717,0.86933,0.010638,-0.03615,0,0,2.4467,0
83,-0.21081,0.57331,-0.50423,-0.049662,0,-0.031339,0.93313,0.0042787,-0.019566,0,0,2.8208,0
83,-0.48366,0.57693,-0.49759,-0.049009,0,-0.047006,1,-1.4855e-19,6.3242e-18,0,0,3.1539,0
83,-0.056703,0.57176,-0.51833,-0.033979,0,-1.5645,0.81282,0.015347,-0.028498,0,0,1.2145,0
83,0.034926,0.57545,-0.51151,-0.033535,0,-0.70173,0.87505,0.0074289,-0.02046,0,0,1.3996,0
83,0.028222,0.58008,-0.50468,-0.033091,0,-0.17147,0.93744,0.0023132,-0.01096,0,0,1.5688,0
83,-0.076814,0.58565,-0.49786,-0.032646,0,0.026255,1,-1.1771e-18,1.1884e-18,0,0,1.7221,0
83,-0.0544,0.57425,-0.51916,-0.01699,0,-1.6319,0.81266,0.013763,-0.0073771,0,0,0.36364,0
83,0.040282,0.57797,-0.51233,-0.016763,0,-0.78724,0.87494,0.0062672,-0.0051176,0,0,0.36421,0
83,0.057213,0.58262,-0.5055,-0.016537,0,-0.23234,0.93739,0.0016794,-0.0026586,0,0,0.37508,0
83,-0.0036052,0.58822,-0.49866,-0.01631,0,0.032856,1,-1.1771e-18,-1.2903e-18,0,0,0.39626,0
83,-0.050078,0.57377,-0.52,0,0,-1.5265,0.80815,0.014326,0.013609,0,0,-0.52104,0
83,-0.052523,0.57732,-0.51333,0,0,-0.7137,0.86901,0.007153,0.0098761,0,0,-0.65954,0
83,-0.12384,0.58093,-0.50667,0,0,-0.21395,0.93296,0.0023775,0.0053397,0,0,-0.76046,0
83,-0.26403,0.58461,-0.5,0,0,-0.027204,1,-1.4855e-19,-1.1119e-18,0,0,-0.82381,0
83,-0.068008,0.53113,-0.51001,-0.10145,0,-0.53049,0.80981,0.035592,-0.10971,0,0,4.5336,0
83,-0.095528,0.53438,-0.50347,-0.10015,0,0.36121,0.87015,0.022712,-0.079635,0,0,5.4273,0
83,-0.3564,0.53774,-0.49693,-0.098846,0,0.4778,0.93355,0.010848,-0.043066,0,0,6.2764,0
83,-0.85063,0.54119,-0.49039,-0.097545,0,-0.1807,1,-2.5641e-18,3.4194e-17,0,0,7.0808,0
83,-0.05852,0.54566,-0.5125,-0.084621,0,-0.91799,0.81375,0.027856,-0.088856,0,0,3.8486,0
83,0.024128,0.54917,-0.50576,-0.08351,0,-0.13032,0.87568,0.016435,-0.06338,0,0,4.3637,0
83,-0.023549,0.55362,-0.49901,-0.082399,0,0.17835,0.93776,0.0071496,-0.033761,0,0,4.8545,0
83,-0.20155,0.55901,-0.49226,-0.081288,0,0.0080128,1,-3.404e-19,2.2257e-17,0,0,5.3212,0
83,-0.047695,0.55737,-0.515,-0.067795,0,-1.1856,0.81335,0.022351,-0.068871,0,0,3.0173,0
83,0.048078,0.56096,-0.50822,-0.0669,0,-0.48612,0.87541,0.01241,-0.048885,0,0,3.356,0
83,0.10531,0.56548,-0.50144,-0.066004,0,-0.078887,0.93762,0.0049597,-0.025928,0,0,3.6958,0
83,0.124,0.57092,-0.49466,-0.065109,0,0.036087,1,8.5468e-19,9.8638e-18,0,0,4.0367,0
83,-0.035531,0.56628,-0.5175,-0.050969,0,-1.3333,0.80862,0.019078,-0.049753,0,0,2.0397,0
83,-0.023677,0.56976,-0.51086,-0.050316,0,-0.70619,0.86933,0.010638,-0.03615,0,0,2.4042,0
83,0.030174,0.57331,-0.50423,-0.049662,0,-0.29391,0.93313,0.0042787,-0.019566,0,0,2.8001,0
83,0.12602,0.57693,-0.49759,-0.049009,0,-0.096482,1,1.0212e-18,-2.9868e-18,0,0,3.2274,0
83,-0.077025,0.47047,-0.49761,-0.15095,0,0.76845,0.81172,0.062542,-0.16303,0,0,6.9205,0
83,-0.12042,0.47336,-0.49123,-0.14901,0,1.5754,0.87146,0.042376,-0.11818,0,0,8.248,0
83,-0.49098,0.47639,-0.48485,-0.14708,0,1.1778,0.93422,0.021529,-0.063832,0,0,9.5287,0
83,-1.1887,0.47957,-0.47847,-0.14514,0,-0.42424,1,-1.9597e-17,-2.6166e-18,0,0,10.763,0
83,-0.057854,0.49317,-0.50174,-0.13445,0,0.3193,0.81538,0.051142,-0.1437,0,0,6.3805,0
83,0.012281,0.49636,-0.49514,-0.13268,0,0.90572,0.87677,0.033139,-0.10226,0,0,7.1954,0
83,-0.074785,0.50047,-0.48853,-0.13091,0,0.79377,0.93831,0.016092,-0.054359,0,0,7.9787,0
83,-0.31905,0.50551,-0.48193,-0.12915,0,-0.016565,1,-9.8782e-18,-8.4935e-20,0,0,8.7304,0
83,-0.038756,0.51339,-0.50587,-0.11795,0,-0.12137,0.81475,0.042158,-0.12593,0,0,5.5873,0
83,0.054029,0.5167,-0.49922,-0.11639,0,0.32359,0.87634,0.026585,-0.089412,0,0,6.2416,0
83,0.14925,0.52092,-0.49256,-0.11484,0,0.37382,0.93809,0.012532,-0.047437,0,0,6.888,0
